HOSPCODE|HID|HOUSE_ID|HOUSETYPE|ROOMNO|CONDO|HOUSE|SOISUB|SOIMAIN|ROAD|VILLANAME|VILLAGE|TAMBON|AMPUR|CHANGWAT|TELEPHONE|LATITUDE|LONGITUDE|NFAMILY|LOCATYPE|VHVID|HEADID|TOILET|WATER|WATERTYPE|GARBAGE|HOUSING|DURABILITY|CLEANLINESS|VENTILATION|LIGHT|WATERTM|MFOOD|BCONTROL|ACONTROL|CHEMICAL|OUTDATE|D_UPDATE
07522|217||0|||108/4|||||01|07|02|56||||1||000789|000000||||||||||||||||20101009000000
07522|218||1|||108/3|||||01|07|02|56||||1|2|000789|000788||||||||||||||||20131128091457
07522|219||0|||102|||||01|07|02|56||||1||000000|000792||||||||||||||||20130617151541
07522|220||0|||112|||||01|07|02|56||||1||000789|000000||||||||||||||||20101009000000
07522|221|5602023696|0|||2|||||01|07|02|56||||1||000000|000800||||||||||||||||20101009000000
07522|222||0|||21/2|||||01|07|02|56||||1||000875|000000||||||||||||||||20101009000000
07522|223|5602013606|0|||21/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|224|5602008121|0|||21|||||01|07|02|56||||1||000875|000000||||||||||||||||20101009000000
07522|226||0|||20/2|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|227|5602024177|0|||20/1|||||01|07|02|56||||1||000965|000817||||||||||||||||20101009000000
07522|229||0|||2/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|230|5602008123|0|||23|||||01|07|02|56||||1||000875|000000||||||||||||||||20101009000000
07522|231|5602023191|0|||19/1|||||01|07|02|56||||1||000920|000000||||||||||||||||20101009000000
07522|232|5602024609|0|||19|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|236||0|||18/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|237|5602008118|0|||18|||||01|07|02|56||||1||000837|000000||||||||||||||||20101009000000
07522|238|5602008120|0|||20|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|239||0|||26/1|||||01|07|02|56||||1||000837|000842||||||||||||||||20101009000000
07522|240||0|||100|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|241||0|||135|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|242|5602020453|0|||30/1|||||01|07|02|56||||1||000849|000848||||||||||||||||20121108111853
07522|243||0|||30|||||01|07|02|56||||1||000263|000000||||||||||||||||20101009000000
07522|244|5602008101|0|||3|||||01|07|02|56||||1||000263|000000||||||||||||||||20101009000000
07522|245|5602008130|0|||29|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|246|5602008129|0|||28|||||01|07|02|56||||1||000837|000000||||||||||||||||20101009000000
07522|247||0|||22|||||01|07|02|56||||1||000000|000867||||||||||||||||20101009000000
07522|249|5602025456|0|||22/1|||||01|07|02|56||||1||000875|000000||||||||||||||||20101009000000
07522|250|5602008126|0|||26|||||01|07|02|56||||1||000837|000882||||||||||||||||20101009000000
07522|251||0|||25/1|||||01|07|02|56||||1||000875|000883||||||||||||||||20101009000000
07522|253|5602008124|0|||24|||||01|07|02|56||||1||000875|000000||||||||||||||||20101009000000
07522|255|5602021693|0|||23/1|||||01|07|02|56||||1||000888|000000||||||||||||||||20101009000000
07522|256|5602021718|0|||29/1|||||01|07|02|56||||1||000000|000895||||||||||||||||20101009000000
07522|257|5602008127|0|||27|||||01|07|02|56||||1||000000|000900||||||||||||||||20101009000000
07522|258||0|||144|||||01|07|02|56||||1||000000|000904||||||||||||||||20101009000000
07522|259|5602020454|0|||15/2|||||01|07|02|56||||1||000560|000000||||||||||||||||20101009000000
07522|260|5602020391|0|||15/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|261|5602008115|0|||15|||||01|07|02|56||||1||000364|000000||||||||||||||||20101009000000
